first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,now_cost
Rhian,Brewster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,42
Adrián,San Miguel del Castillo,0,0,27,873,10,0.0,131.4,0.0,0,136,13.2,2,0,1,2.0,40
Andy,Lonergan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,42
Caoimhin,Kelleher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Harvey,Elliott,0,0,2,7,0,1.7,1.8,0.0,0,6,0.4,0,0,0,0.0,45
Curtis,Jones,1,0,8,24,0,4.3,37.0,22.0,0,27,6.2,0,0,0,0.0,45
Neco,Williams,0,0,3,76,1,26.5,23.8,45.0,0,13,9.5,0,0,1,0.2,40
Nathaniel,Phillips,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,39
Takumi,Minamino,0,0,7,146,1,13.4,8.6,43.0,0,12,6.2,0,0,0,0.1,59
Ki-Jana,Hoever,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Aymeric,Laporte,0,0,39,843,5,52.3,168.8,46.0,0,208,26.6,5,0,1,3.6,63
Kyle,Walker,1,2,86,2104,24,313.5,352.4,157.0,4,460,82.5,9,0,5,12.2,56
Benjamin,Mendy,0,2,62,1352,13,371.9,228.2,94.0,3,324,69.7,7,0,3,1.4,55
Oleksandr,Zinchenko,0,0,46,1206,14,339.0,213.6,100.0,1,272,65.4,6,1,0,2.4,52
John,Stones,0,0,30,994,15,50.8,177.4,66.0,0,208,29.5,3,0,0,1.0,53
Nicolás,Otamendi,2,1,80,1620,20,63.8,425.4,319.0,6,377,80.7,7,0,3,2.4,48
Danilo Luiz,da Silva,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Sergio,Agüero,16,6,132,1449,18,256.4,641.2,1188.0,14,509,208.2,5,0,1,12.2,117
Gabriel Fernando,de Jesus,11,6,114,1699,14,355.0,598.8,1311.0,11,406,226.0,8,0,3,4.4,97
Ederson,Santana de Moraes,0,0,112,2711,30,16.0,554.4,0.0,2,559,56.9,13,1,3,12.9,60
Claudio,Bravo,0,0,11,346,7,0.0,57.8,0.0,0,69,5.8,1,0,0,0.3,47
Raheem,Sterling,14,5,157,2363,30,661.8,693.8,1529.0,14,503,288.5,10,0,5,16.5,117
Kevin,De Bruyne,11,21,223,2547,22,1712.2,1153.4,911.0,32,867,377.9,15,0,3,52.6,108
Leroy,Sané,0,0,1,11,0,1.1,0.0,11.0,0,2,1.0,0,0,0,0.2,91
Riyad,Mahrez,10,12,158,1760,14,808.6,745.8,970.0,17,609,252.5,9,0,0,10.3,86
Bernardo Mota,Veiga de Carvalho e Silva,5,7,102,1791,24,669.1,549.0,861.0,6,459,207.7,7,0,5,8.1,76
David,Silva,5,11,122,1621,14,679.2,552.8,825.0,12,474,205.6,10,0,0,4.4,73
Phil,Foden,4,2,57,637,6,238.7,257.6,293.0,4,205,79.0,3,0,0,6.2,54
Fernando,Luiz Rosa,0,1,51,2241,26,133.9,531.2,163.0,1,365,82.9,10,2,7,0.7,51
Ilkay,Gündogan,2,1,61,1900,28,580.9,386.0,373.0,4,363,134.1,6,0,7,1.2,52
José Ángel,Esmorís Tasende,0,1,11,422,7,164.0,92.6,58.0,1,94,31.6,0,0,1,0.1,46
Rodrigo,Hernandez,3,1,81,2252,26,466.6,544.8,171.0,5,473,118.1,12,0,8,1.3,53
João Pedro Cavaco,Cancelo,0,0,34,1025,11,234.2,229.0,99.0,3,242,56.2,3,0,3,0.8,51
Eric,Garcia,0,0,25,539,6,9.8,97.8,0.0,0,125,10.7,3,0,0,0.6,45
Scott,Carson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Taylor,Harwood-Bellis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Cole,Palmer,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Tommy,Doyle,0,0,1,15,0,2.0,3.8,7.0,0,3,1.3,0,0,0,0.0,45
Aaron,Wan-Bissaka,0,4,114,2755,31,414.2,684.8,111.0,15,594,121.2,10,0,6,19.7,55
Harry,Maguire,1,0,110,3060,33,189.7,706.8,353.0,5,608,125.4,11,0,4,11.5,53
Chris,Smalling,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,52
Ashley,Young,0,0,24,953,10,316.6,155.6,18.0,0,158,49.1,2,0,5,0.3,54
Victor,Lindelöf,1,0,100,2732,29,70.1,494.8,79.0,7,536,64.3,10,0,5,1.1,53
Luke,Shaw,0,0,65,1656,14,318.1,336.4,185.0,2,368,83.8,8,0,7,0.9,54
Marcos,Rojo,0,0,3,121,2,1.9,20.2,6.0,0,9,2.8,0,0,1,0.1,48
Eric,Bailly,0,0,9,148,1,1.0,32.0,0.0,0,40,3.3,1,0,0,0.1,48
José Diogo,Dalot Teixeira,0,0,4,65,1,4.3,10.4,6.0,0,10,1.9,0,0,0,0.1,49
Matteo,Darmian,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,49
Phil,Jones,0,0,2,135,3,3.0,21.4,23.0,0,22,4.7,0,0,0,0.1,47
Romelu,Lukaku,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,85
Marcus,Rashford,15,7,155,2291,26,506.2,779.2,1108.0,27,583,239.4,7,0,2,19.8,90
Mason,Greenwood,9,1,88,993,11,163.3,399.4,436.0,14,368,99.5,4,0,0,24.3,47
David,de Gea,0,0,124,3060,33,0.0,594.0,0.0,7,550,59.2,11,0,2,11.8,53
Sergio,Romero,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,46
Lee,Grant,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,47
Paul,Pogba,1,4,42,870,7,378.7,260.6,182.0,2,190,82.2,4,0,0,3.8,83
Anthony,Martial,15,6,168,2265,24,352.3,724.2,1134.0,11,453,221.3,12,0,1,19.9,83
Alexis,Sánchez,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.4,68
Jesse,Lingard,0,0,25,882,14,261.8,71.4,260.0,0,73,59.1,1,0,3,0.7,63
Juan,Mata,0,2,38,747,8,293.9,109.2,130.0,2,139,53.4,4,0,1,0.4,61
Daniel,James,3,6,94,2275,28,428.1,415.2,622.0,2,306,146.0,7,0,4,5.0,57
Frederico,Rodrigues de Paula Santos,0,0,49,2130,25,542.3,430.0,260.0,0,356,123.4,6,0,8,0.3,51
Angel,Gomes,0,0,2,19,1,24.8,4.2,2.0,0,7,3.1,0,0,0,0.1,47
Andreas,Pereira,1,3,60,1478,16,432.1,245.6,343.0,1,198,102.3,6,0,3,0.4,48
Nemanja,Matic,0,2,47,1281,10,224.1,281.8,53.0,2,232,55.9,9,0,2,0.4,48
Scott,McTominay,3,2,69,1693,19,235.7,406.8,310.0,6,291,95.2,2,0,2,1.0,48
Tahith,Chong,0,0,3,34,0,1.1,1.4,6.0,0,6,0.7,0,0,0,0.5,43
James,Garner,0,0,1,8,1,2.8,2.2,0.0,0,3,0.5,0,0,0,0.2,43
Axel,Tuanzebe,0,0,7,187,3,6.2,17.6,0.0,0,30,2.4,0,0,0,0.1,44
Brandon,Williams,1,1,41,808,9,167.1,155.4,92.0,1,176,41.5,4,0,5,3.1,39
Bruno Miguel,Borges Fernandes,7,6,94,839,4,363.3,472.4,291.0,15,296,112.7,7,0,1,28.2,90
Odion,Ighalo,0,0,9,86,0,23.2,23.0,117.0,0,19,16.2,0,0,0,0.4,61
Matt,Ritchie,1,1,57,971,12,336.8,202.6,186.0,5,220,72.5,7,0,3,0.9,53
Fabian,Schär,2,1,54,1489,33,56.1,412.6,171.0,2,277,64.0,4,0,4,1.2,50
DeAndre,Yedlin,1,0,25,880,17,96.9,156.0,43.0,0,116,29.8,1,0,3,0.1,44
Federico,Fernández,2,2,93,2257,34,64.0,644.2,212.0,13,446,91.9,7,0,5,3.4,46
Paul,Dummett,0,0,44,1227,20,63.1,265.2,50.0,4,230,37.7,5,0,2,0.2,43
Javier,Manquillo,0,1,58,1327,16,97.1,204.8,40.0,4,255,34.3,7,0,4,0.2,43
Florian,Lejeune,2,0,24,440,10,12.6,132.0,81.0,1,88,22.5,1,0,0,0.0,43
Jamaal,Lascelles,1,0,73,1990,29,28.0,384.0,123.0,3,350,53.6,8,0,4,5.6,43
Ciaran,Clark,2,0,49,1186,14,14.9,331.4,128.0,2,216,47.6,4,0,3,0.2,43
Yoshinori,Muto,0,0,9,207,7,15.4,12.6,12.0,0,25,3.7,0,0,0,0.1,51
Jose Luis,Mato Sanmartín,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,50
Martin,Dubravka,0,0,131,3060,50,0.0,937.8,0.0,7,653,93.9,10,0,0,2.2,51
Karl,Darlow,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
Frederick,Woodman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.8,39
Miguel,Almirón,4,2,100,2686,41,382.4,431.4,662.0,5,314,147.4,11,0,5,0.8,58
Christian,Atsu,0,3,37,738,15,186.7,121.4,55.0,0,104,36.3,3,0,2,0.1,53
Sung-yueng,Ki,0,0,4,135,6,39.8,17.8,0.0,0,18,5.8,0,0,0,0.0,47
Jonjo,Shelvey,6,1,94,1758,26,505.0,502.0,279.0,15,382,128.9,7,0,2,1.0,49
Sean,Longstaff,1,2,43,1329,24,216.9,229.6,154.0,0,182,60.1,2,1,2,0.3,50
Isaac,Hayden,1,4,72,2200,35,227.6,368.6,189.0,3,308,78.5,8,1,4,3.6,44
Danny,Rose,0,0,39,1512,25,214.9,265.8,44.0,0,251,52.7,4,0,6,1.3,53
Joelinton Cássio,Apolinário de Lira,2,2,74,2578,42,409.0,320.0,617.0,3,227,134.5,9,0,7,1.0,55
Jack,Colback,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
Jacob,Murphy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,47
Jetro,Willems,2,2,64,1492,24,196.0,345.4,198.0,6,283,74.1,3,0,0,0.6,43
Rolando,Aarons,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,48
Allan,Saint-Maximin,3,5,84,1562,16,366.6,387.6,470.0,7,293,122.4,7,0,0,3.0,55
Emil,Krafth,0,1,29,824,19,26.9,142.0,38.0,2,147,20.8,2,0,0,0.1,43
Andy,Carroll,0,4,32,581,9,151.7,135.6,184.0,0,90,47.4,2,0,1,0.1,54
Matthew,Longstaff,2,0,26,568,10,51.4,102.0,49.0,2,101,20.3,1,0,1,0.1,45
Dwight,Gayle,2,2,37,554,10,68.9,134.8,206.0,5,107,40.8,3,0,2,0.5,50
Robert,Elliot,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Thomas,Allan,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Kelland,Watts,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39
Liam,Gibson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Nabil,Bentaleb,0,0,12,512,12,84.8,77.6,4.0,0,77,16.6,1,0,2,0.0,48
Valentino,Lazaro,1,0,14,340,8,76.1,73.8,34.0,0,61,18.4,0,1,0,0.0,53
Jack,Young,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Timm,Klose,0,0,6,360,7,1.8,77.8,42.0,0,47,12.1,0,0,0,0.0,43
Ben,Godfrey,0,0,37,2284,50,55.4,524.0,94.0,0,404,67.7,3,1,3,0.2,44
Maximillian,Aarons,0,2,63,2880,59,366.9,506.0,237.0,3,439,111.1,5,0,7,1.4,43
Christoph,Zimmermann,0,1,35,1295,21,15.5,312.2,62.0,1,234,39.1,3,0,2,0.0,44
Jamal,Lewis,1,0,45,1941,44,208.9,380.2,110.0,3,332,70.0,3,0,4,0.3,44
Grant,Hanley,0,0,23,1261,25,3.6,318.8,76.0,1,214,40.0,2,0,4,1.9,41
Teemu,Pukki,11,3,134,2729,54,376.3,543.0,1183.0,21,436,209.7,6,0,3,11.9,64
Dennis,Srbeny,1,0,13,41,2,3.4,44.2,25.0,1,50,7.0,0,0,0,0.0,52
Tim,Krul,0,0,101,2880,56,0.0,910.0,0.0,10,591,91.0,5,0,4,2.4,46
Michael,McGovern,0,0,11,158,6,0.0,65.0,0.0,2,46,6.5,0,0,0,5.2,41
Mario,Vrancic,1,0,25,533,12,105.4,123.0,115.0,1,107,34.5,0,0,3,0.1,62
Emiliano,Buendía,1,7,94,2336,49,1155.6,693.8,382.0,12,461,223.5,3,0,5,0.7,60
Onel,Hernández,1,2,44,1056,22,207.3,189.2,376.0,0,149,77.1,1,0,0,0.1,53
Marco,Stiepermann,0,0,28,1018,27,161.5,99.4,257.0,0,84,51.7,1,0,5,0.1,50
Kenny,McLean,1,1,70,2683,55,386.0,471.8,266.0,0,386,112.4,5,0,5,0.1,48
Todd,Cantwell,6,2,105,2228,46,475.1,494.0,634.0,10,386,159.5,6,0,5,14.5,45
Moritz,Leitner,0,0,16,683,16,127.7,106.8,53.0,0,102,28.8,1,0,1,0.2,43
Alexander,Tettey,1,1,61,2081,37,111.5,334.4,155.0,3,366,60.2,5,0,5,0.3,44
Tom,Trybull,0,0,28,1128,25,55.4,198.2,92.0,0,172,34.7,2,0,2,0.6,43
Josip,Drmic,1,0,26,511,10,64.4,55.0,231.0,0,67,34.7,0,0,0,0.1,53
Patrick,Roberts,0,0,3,24,2,0.6,4.4,0.0,0,12,0.5,0,0,0,0.0,50
Ralf,Fahrmann,0,0,1,21,1,0.0,4.0,0.0,0,6,0.4,0,0,0,0.3,44
Sam,Byram,0,0,32,1292,23,109.2,273.2,218.0,2,201,60.2,3,0,4,0.1,43
Philip,Heise,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.6,39
Ibrahim,Amadou,0,0,18,756,20,18.3,177.2,31.0,0,122,22.7,1,0,1,0.1,45
Adam,Idah,0,0,9,170,5,14.6,10.4,40.0,0,14,5.8,0,0,0,0.1,44
Archie,Mair,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
Akin,Famewo,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,39
Ondrej,Duda,0,1,24,723,9,261.6,115.8,105.0,0,131,48.3,3,0,0,0.1,45
Lukas,Rupp,0,0,13,480,10,78.9,47.0,82.0,0,49,20.5,1,0,1,0.0,44
Josh,Martin,0,0,2,8,0,0.4,2.4,0.0,0,6,0.3,0,0,0,0.0,45
Jordan,Thomas,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Lys,Mousset,6,4,82,1151,14,162.3,300.0,520.0,11,251,96.9,3,0,1,2.8,44
Enda,Stevens,2,3,130,2985,33,513.7,588.6,289.0,8,587,139.3,12,0,6,3.5,51
Kieron,Freeman,0,0,2,6,0,0.3,0.0,0.0,0,5,0.0,0,0,0,0.1,42
Jack,O'Connell,0,1,102,2645,25,254.5,530.2,238.0,6,508,102.4,11,0,4,2.1,45
George,Baldock,2,4,133,3060,33,422.0,501.8,235.0,7,550,115.9,12,0,6,11.5,50
John,Egan,2,1,124,2827,27,14.7,574.2,491.0,9,533,108.0,12,1,2,4.5,46
Richard,Stearman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.9,39
John,Lundstram,4,4,134,2269,25,360.2,439.4,412.0,15,502,121.5,10,0,5,29.4,46
Billy,Sharp,3,1,50,907,8,163.7,152.0,268.0,9,144,57.4,4,1,1,0.5,54
Jake,Eastwood,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,43
Mark,Duffy,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,52
John,Fleck,5,2,98,2350,26,614.2,506.4,419.0,13,442,154.1,8,0,7,2.8,47
Oliver,Norwood,1,3,91,2831,32,758.3,576.2,100.0,6,522,143.5,12,0,7,0.7,47
David,McGoldrick,0,2,49,1585,16,250.8,227.8,482.0,3,136,96.0,6,0,2,0.2,54
Chris,Basham,0,1,113,2956,33,181.5,625.0,97.0,6,575,90.7,12,0,4,2.2,46
Simon,Moore,0,0,3,180,6,0.0,28.0,0.0,0,23,2.8,0,0,0,0.1,43
Luke,Freeman,0,0,13,360,5,77.4,46.2,25.0,0,38,14.9,1,0,2,0.1,50
Phil,Jagielka,0,0,5,218,6,4.7,62.6,2.0,0,45,6.9,0,0,0,0.4,41
Callum,Robinson,1,2,33,669,6,72.8,79.8,156.0,1,73,30.4,2,0,1,0.2,49
Ravel,Morrison,0,0,1,12,0,0.6,0.0,4.0,0,0,0.2,0,0,0,0.1,45
Dean,Henderson,0,1,147,2880,27,10.0,636.0,18.0,15,616,66.5,12,0,2,15.9,52
Ben,Osborn,0,0,14,396,2,74.5,63.8,39.0,0,69,17.8,1,0,0,0.0,47
Oliver,McBurnie,5,0,71,1844,21,178.7,377.4,750.0,4,252,130.3,8,0,4,0.3,55
Michael,Verrips,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Muhamed,Bešić,0,0,9,243,2,21.5,34.2,29.0,0,40,8.5,0,0,2,0.1,43
Leon,Clarke,0,0,1,13,0,0.3,0.0,4.0,0,-1,0.3,0,0,0,0.1,44
Jack,Rodwell,0,0,1,15,0,0.0,1.2,0.0,0,3,0.1,0,0,0,0.0,45
Jack,Robinson,0,0,13,414,8,30.1,87.6,2.0,2,74,12.0,1,0,0,1.1,40
Sander,Berge,1,1,32,656,6,43.2,116.8,80.0,3,102,24.2,3,0,0,0.2,47
Richairo,Zivkovic,0,0,3,61,2,28.3,9.2,22.0,0,12,6.0,0,0,0,0.0,47
Panagiotis,Retsos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Jannik,Vestergaard,1,0,42,1226,24,67.1,284.6,147.0,6,232,49.9,3,0,2,1.9,45
Ryan,Bertrand,1,1,66,2472,49,516.6,407.6,212.0,0,386,113.7,6,1,3,0.8,48
Yan,Valery,0,1,18,778,20,44.2,112.0,77.0,0,93,23.3,1,0,1,0.1,46
Jan,Bednarek,1,0,76,2877,54,32.9,673.0,61.0,3,493,77.1,7,0,4,0.8,44
Jack,Stephens,1,3,75,2181,36,98.0,519.2,95.0,6,378,71.3,6,1,3,2.0,44
Maya,Yoshida,0,0,10,558,18,3.7,96.8,77.0,1,85,17.7,1,0,1,0.2,41
Kayne,Ramsay,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,1.4,39
Charlie,Austin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,60
Danny,Ings,19,2,177,2440,40,409.8,887.8,1376.0,37,657,267.2,5,0,3,27.6,74
Michael,Obafemi,2,1,34,605,11,98.6,118.6,198.0,2,117,41.3,3,0,1,0.2,49
Shane,Long,2,3,58,1290,20,262.6,181.6,513.0,4,149,96.0,4,0,0,2.1,46
Sam,Gallagher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Fraser,Forster,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,42
Alex,McCarthy,0,0,92,2160,31,10.0,572.6,0.0,8,425,58.1,6,0,0,3.6,45
Angus,Gunn,0,0,29,900,25,0.0,219.4,0.0,3,166,22.1,2,0,0,1.3,42
Nathan,Redmond,4,1,87,2403,47,448.7,401.4,635.0,6,336,148.9,6,0,2,0.7,62
James,Ward-Prowse,5,4,110,3060,56,854.3,784.0,465.0,8,536,210.7,8,0,7,1.5,57
Mohamed,Elyounoussi,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,52
Stuart,Armstrong,4,4,85,1507,22,235.3,359.0,373.0,9,262,96.7,6,0,4,0.5,52
Mario,Lemina,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,46
Pierre-Emile,Højbjerg,0,3,72,2647,50,453.0,470.0,307.0,1,399,123.1,7,0,5,0.3,48
Tyreke,Johnson,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Callum,Slattery,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,44
Oriol,Romeu Vidal,0,0,44,1558,34,192.3,286.8,41.0,1,250,52.1,4,0,4,1.3,43
Kyle,Walker-Peters,0,0,19,629,9,74.1,126.4,24.0,1,124,22.5,1,0,0,0.6,44
Che,Adams,1,4,55,879,14,162.1,113.4,335.0,3,146,60.1,4,0,0,0.3,53
Moussa,Djenepo,2,2,40,920,14,153.4,224.4,252.0,3,151,62.9,2,1,4,0.1,52
Wesley,Hoedt,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,42
Sofiane,Boufal,0,3,34,753,17,203.7,149.4,267.0,0,99,62.0,1,0,2,0.1,55
Kevin,Danso,0,1,9,275,8,26.0,58.4,6.0,0,46,8.9,1,1,0,0.0,42
Daniel,N'Lundulu,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,44
Harry,Lewis,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,40
William,Smallbone,0,1,14,231,3,21.6,42.4,35.0,0,44,9.7,2,0,0,0.0,45
Nathan,Tella,0,0,1,2,0,0.0,3.0,17.0,0,3,2.0,0,0,0,0.0,45
Jake,Vokins,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
Alexandre,Jankewitz,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Will,Ferry,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Ben,Davies,0,0,31,1070,16,140.6,208.8,65.0,2,177,41.2,3,0,4,0.2,53
Jan,Vertonghen,1,1,61,1643,24,56.1,398.2,63.0,5,343,51.9,4,0,2,1.5,52
Toby,Alderweireld,1,2,79,2597,36,194.9,679.0,152.0,4,508,102.6,6,0,5,4.4,53
Davinson,Sánchez,0,2,54,2160,35,30.3,483.4,78.0,4,393,59.3,3,0,5,1.0,53
Kieran,Trippier,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,55
Juan,Foyth,0,0,3,66,3,12.5,18.6,0.0,0,9,3.1,0,0,1,0.0,48
Serge,Aurier,1,7,113,2339,30,487.2,614.8,232.0,15,570,133.4,8,1,1,7.8,51
Harry,Kane,13,2,122,2228,33,316.8,626.6,852.0,17,435,179.5,5,0,3,11.9,110
Vincent,Janssen,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,45
Hugo,Lloris,0,0,80,1448,18,0.0,465.4,0.0,11,347,46.6,5,0,0,3.9,53
Paulo,Gazzaniga,0,0,58,1612,26,10.0,449.8,0.0,6,300,46.1,2,0,1,1.6,41
Heung-Min,Son,9,11,140,2131,29,539.4,686.2,1028.0,14,463,224.8,6,2,0,7.1,97
Christian,Eriksen,2,2,48,1090,18,348.9,262.4,225.0,6,205,83.3,1,0,5,2.3,86
Bamidele,Alli,8,6,116,1835,25,328.3,526.8,627.0,12,343,148.4,4,0,2,2.9,83
Lucas,Rodrigues Moura da Silva,4,3,85,1932,26,394.9,395.4,671.0,1,266,146.0,5,0,2,3.9,71
Erik,Lamela,2,4,59,1161,12,283.1,217.6,316.0,2,201,81.5,5,0,3,1.1,57
Harry,Winks,0,0,44,1863,28,297.1,307.8,66.0,0,316,67.2,5,0,8,0.3,52
Victor,Wanyama,0,0,1,24,2,0.9,1.2,0.0,0,5,0.2,0,0,1,0.1,47
Moussa,Sissoko,2,1,60,2102,28,256.0,300.6,187.0,0,334,74.3,6,0,8,1.3,48
Eric,Dier,0,2,35,1250,22,99.6,279.0,56.0,0,162,43.7,3,0,4,0.2,48
Luke,Amos,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,44
Oliver,Skipp,0,0,4,57,1,1.2,12.6,0.0,0,12,1.4,0,0,0,0.6,43
Tanguy,Ndombele,2,2,45,1002,17,194.8,274.2,122.0,2,220,59.2,1,0,3,2.2,58
Troy,Parrott,0,0,2,6,0,0.1,0.2,0.0,0,6,0.0,0,0,0,0.8,43
Giovani,Lo Celso,0,1,38,1202,15,360.4,222.2,148.0,0,184,73.1,5,0,5,0.4,73
Ryan,Sessegnon,0,0,9,341,5,39.9,45.4,34.0,0,41,11.9,0,0,0,0.1,54
Georges-Kévin,Nkoudou,0,0,1,2,0,0.0,0.0,18.0,0,3,1.8,0,0,0,0.0,50
Alfie,Whiteman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.5,40
Michel,Vorm,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,42
Brandon,Austin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,40
Japhet,Tanganga,0,0,17,525,7,17.2,134.4,20.0,0,100,17.1,2,0,1,0.9,39
Gedson,Carvalho Fernandes,0,0,6,61,1,34.0,17.0,20.0,0,17,7.1,0,0,0,0.0,46
Steven,Bergwijn,3,0,37,615,9,147.3,150.2,145.0,5,117,44.2,2,0,1,1.1,72
Harvey,White,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,45
Dennis,Cirkin,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,40
José,Holebas,0,1,21,1022,28,208.4,171.4,62.0,0,153,44.1,2,0,5,0.7,46
Christian,Kabasele,0,2,69,1890,24,34.0,406.6,138.0,4,333,58.2,7,2,1,0.5,43
Adam,Masina,1,0,62,1587,24,170.3,329.0,83.0,4,263,58.5,6,0,3,0.4,43
Adrian,Mariappa,0,0,25,1329,29,72.1,194.4,32.0,1,176,29.2,3,1,3,0.3,42
Francisco,Femenía Far,0,0,48,1921,35,254.3,309.6,42.0,0,318,60.7,5,0,5,1.0,42
Craig,Cathcart,0,0,77,2488,37,34.8,458.0,57.0,3,441,55.1,9,0,7,3.3,43
Daryl,Janmaat,0,1,36,606,5,108.4,116.0,46.0,7,148,27.1,4,0,1,0.6,40
Marc,Navarro,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.3,39
Sebastian,Prödl,0,0,1,56,0,0.1,1.8,8.0,0,3,1.0,0,0,0,1.0,39
Troy,Deeney,6,2,80,1918,28,318.0,389.8,656.0,10,288,136.2,6,0,3,1.8,62
Gerard,Deulofeu,4,5,88,2097,33,602.3,458.4,896.0,9,330,195.4,8,0,3,1.7,61
Andre,Gray,2,1,37,717,17,123.9,106.2,281.0,2,114,50.2,0,0,1,0.4,55
Isaac,Success Ajayi,0,0,4,65,3,13.6,6.2,17.0,0,8,3.7,0,0,1,0.3,47
Ben,Foster,0,0,123,3060,53,10.1,804.2,17.0,15,614,83.4,9,0,1,4.0,49
Pontus,Dahlberg,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,42
Abdoulaye,Doucouré,4,3,102,2834,50,494.8,495.4,602.0,9,411,159.0,10,0,9,2.0,55
Roberto,Pereyra,3,0,57,1468,20,260.5,226.4,312.0,0,182,79.8,5,0,3,0.6,56
Will,Hughes,1,1,58,1899,35,319.2,305.8,242.0,3,224,86.7,5,0,5,0.3,53
