assists,games,goals,id,key_passes,npg,npxG,player_name,position,red_cards,shots,team_title,time,xA,xG,xGBuildup,xGChain,yellow_cards
4,26,19,755,16,15,10.433209054172039,Jamie Vardy,F S,0,59,Leicester,2224,3.419663490727544,14.239053256809711,1.4472287651151419,13.664329543709755,2
1,26,17,318,20,16,11.240753469988704,Pierre-Emerick Aubameyang,F M,1,65,Arsenal,2309,3.291264995932579,12.001885442063212,4.388375401496887,15.13119576126337,3
3,22,16,619,19,14,12.665595471858978,Sergio Agüero,F S,0,72,Manchester City,1407,2.9202088303864002,14.949065119028091,2.522262408398092,16.170626416802406,1
6,26,16,1250,47,13,13.252390407025814,Mohamed Salah,F,0,98,Liverpool,2265,7.2400669902563095,15.535896979272366,6.689902920275927,23.791065126657486,1
1,29,15,986,21,15,11.051563730463386,Danny Ings,F M S,0,68,Southampton,2026,1.817600498907268,11.051563730463386,2.4377885907888412,12.389018662273884,2
4,22,14,556,24,9,9.782329853624105,Marcus Rashford,F M,0,74,Manchester United,1890,3.2046038936823606,15.110474914312363,2.9352949280291796,12.892826600000262,2
7,26,14,838,41,14,12.425493717193604,Sadio Mané,F M S,0,60,Liverpool,2090,4.868995673954487,12.425493717193604,5.02796745300293,19.738064870238304,2
3,25,13,702,20,13,13.400192350149155,Tammy Abraham,F S,0,73,Chelsea,1976,2.852206479758024,13.400192350149155,0.9634686019271612,15.39133182913065,2
6,29,13,4105,42,10,11.627585366368294,Raúl Jiménez,F S,0,98,Wolverhampton Wanderers,2473,6.644597489386797,13.911091908812523,4.716690460219979,19.59609268605709,3
1,27,13,5555,14,13,14.14703862927854,Dominic Calvert-Lewin,F S,0,65,Everton,1919,1.2165073305368423,14.14703862927854,3.4101777393370867,15.353524304926395,7
3,23,11,553,20,11,8.942269943654537,Anthony Martial,F S,0,60,Manchester United,1901,2.550251541659236,9.70343866199255,4.957387533038855,14.133065197616816,1
1,24,11,618,36,11,13.031746078282595,Raheem Sterling,F M S,0,72,Manchester City,2039,5.926191136240959,13.792914915829897,8.051196854561567,24.2663391828537,5
2,20,11,647,20,9,6.375229977071285,Harry Kane,F,0,57,Tottenham,1785,1.9584172517061234,7.897530876100063,2.4263819279149175,10.012866860255599,2
1,26,11,4456,18,11,14.472395166754723,Chris Wood,F S,0,53,Burnley,2083,0.7614079006016254,14.472395166754723,2.299790441058576,10.519814383238554,1
3,28,11,7696,27,9,9.348029006272554,Teemu Pukki,F,0,74,Norwich,2495,3.4167155139148235,10.87036669626832,2.368442302569747,13.946472764015198,3
4,24,10,5543,16,10,13.720685537904501,Gabriel Jesus,F S,0,68,Manchester City,1325,1.8651880361139774,14.481854405254126,4.720704831182957,18.47707210853696,2
3,27,10,6026,32,10,8.61203328333795,Richarlison,F M,0,71,Everton,2368,6.430791556835175,8.61203328333795,4.604373373091221,14.541859751567245,5
16,26,9,447,94,9,5.250505467876792,Kevin De Bruyne,M S,0,77,Manchester City,2177,14.70118623971939,5.250505467876792,15.82343278452754,28.98560455441475,2
7,21,9,453,30,9,7.117866831831634,Son Heung-Min,F M S,2,64,Tottenham,1764,5.167303834110498,7.879035788588226,5.198095638304949,14.941930748522282,0
0,28,8,468,26,8,8.650621436536312,Callum Wilson,F S,0,42,Bournemouth,2357,2.918790927156806,8.650621436536312,2.6259239856153727,11.225673783570528,9
7,29,8,482,39,8,15.48888049274683,Roberto Firmino,F M S,0,87,Liverpool,2445,6.404986003413796,15.48888049274683,8.079119887202978,24.972548119723797,0
4,22,8,645,22,7,7.0821915324777365,Dele Alli,F M S,0,40,Tottenham,1776,3.458704847842455,7.843360399827361,6.0275101298466325,15.793444998562336,2
1,28,8,672,21,8,6.312915267422795,Jordan Ayew,F M,0,46,Crystal Palace,2414,1.9834237303584814,6.312915267422795,2.5548382811248302,9.594053976237774,5
2,28,8,3621,17,7,10.368951439857483,Neal Maupay,F S,0,79,Brighton,2121,1.6384308068081737,11.130120258778334,2.5948086343705654,10.730752650648355,3
6,26,7,675,70,7,5.007226325571537,Jack Grealish,F M,0,55,Aston Villa,2335,6.198338005691767,5.7683951780200005,8.259876552969217,15.502414923161268,7
8,23,7,750,46,7,4.9339928813278675,Riyad Mahrez,F M S,0,52,Manchester City,1380,8.649242455139756,4.9339928813278675,9.90579928457737,20.09598358720541,0
4,25,7,770,22,6,5.063555464148521,Ayoze Pérez,F M S,0,37,Leicester,1621,3.690063951537013,5.824724301695824,3.1503245066851377,10.727268574759364,0
3,20,7,3277,21,7,6.327156588435173,Alexandre Lacazette,F S,0,40,Arsenal,1319,2.7731438651680946,6.327156588435173,1.4759941082447767,8.869285497814417,5
0,23,7,5596,14,7,3.372405461035669,Harry Wilson,F M S,0,47,Bournemouth,1480,2.2177436221390963,3.372405461035669,4.116967786103487,7.06976230815053,1
1,27,7,6144,23,7,7.969775656238198,Sébastien Haller,F S,0,53,West Ham,2147,2.303884972818196,7.969775656238198,2.502359937876463,10.465072859078646,1
2,18,6,574,20,4,5.448091585189104,Troy Deeney,F S,0,33,Watford,1513,2.7887832392007113,7.731598127633333,1.8469046475365758,8.834443751722574,3
0,19,6,4422,5,5,5.755758501589298,Ashley Barnes,F S,0,40,Burnley,1386,0.3088205009698868,6.516927354037762,1.5740792136639357,5.060966618359089,4
6,27,6,6681,31,6,7.010122928768396,Harvey Barnes,M S,0,51,Leicester,1731,3.314707452431321,7.010122928768396,5.262268019840121,13.673023281618953,0
3,28,6,6818,75,6,4.563272884115577,James Maddison,M S,0,62,Leicester,2411,5.154305061325431,4.563272884115577,8.297883972525597,13.57007498294115,4
1,25,6,6854,23,6,10.344042006880045,Diogo Jota,F M S,0,59,Wolverhampton Wanderers,1796,1.641089342534542,10.344042006880045,3.7418850511312485,13.366517901420593,3
2,29,6,7695,32,6,5.544711802154779,Todd Cantwell,M S,0,37,Norwich,2102,2.145253002643585,5.544711802154779,3.2140235044062138,10.202805742621422,4
4,29,6,7768,43,6,6.376366883516312,Mason Mount,F M S,0,68,Chelsea,2311,4.4419673681259155,6.376366883516312,7.079321773722768,13.917375199496746,3
5,28,5,700,51,4,3.68522572517395,Willian,F M S,0,52,Chelsea,1928,6.005840661004186,4.446394566446543,7.474820014089346,13.762920297682285,3
0,17,5,769,31,5,1.1862474167719483,Jonjo Shelvey,M S,0,30,Newcastle United,1352,2.8111669924110174,1.1862474167719483,3.384582933038473,4.7035816833376884,2
0,28,5,844,3,4,6.022036059759557,Jay Rodriguez,F S,0,45,Burnley,1345,0.1414297129958868,6.783204956911504,0.3065760526806116,4.62328249681741,1
5,24,5,1691,33,5,2.3865075511857867,Robert Snodgrass,F M S,0,21,West Ham,1522,3.732901037670672,2.3865075511857867,3.524154720827937,6.512247741222382,4
4,23,5,1748,12,5,4.833846466615796,Lys Mousset,F S,0,33,Sheffield United,1015,3.612106991931796,4.833846466615796,2.463755715638399,8.382141709327698,1
2,16,5,2662,19,5,6.155446246266365,Christian Pulisic,F M S,0,40,Chelsea,1083,2.2562413550913334,6.155446246266365,4.007628088817,10.000476256012917,0
5,24,5,3635,32,5,5.51190859079361,Bernardo Silva,F M S,0,38,Manchester City,1496,4.287091590464115,5.51190859079361,10.682301238179207,17.60087337344885,5
3,19,5,5675,17,5,5.287633398547769,Ismaila Sarr,F M S,0,36,Watford,1232,2.7876596795395017,5.287633398547769,2.2208570409566164,8.900783773511648,1
0,22,5,7490,8,5,2.0964026115834713,Mason Greenwood,F M S,0,22,Manchester United,620,0.2856243709102273,2.0964026115834713,1.804246962070465,3.764122199267149,0
2,25,5,7709,35,5,3.248101874254644,John Fleck,M,0,31,Sheffield United,2188,3.3004154544323683,3.248101874254644,5.131014847196639,10.000977655872703,7
1,21,5,7724,11,5,6.509389266371727,Wesley,F,0,36,Aston Villa,1806,0.8836160395294428,7.270558223128319,2.6747646359726787,8.00793587975204,3
2,19,4,465,22,3,3.9774916283786297,Joshua King,F M S,0,18,Bournemouth,1472,2.760321471840143,4.738660488277674,2.337625013664365,6.498878609389067,0
1,26,4,533,20,1,0.49031952302902937,Mark Noble,M,0,17,West Ham,2165,1.345979718491435,2.773826020769775,6.159237526357174,7.211480977013707,4
5,28,4,591,43,3,5.452063657343388,Gerard Deulofeu,F M S,0,63,Watford,2137,4.786341346800327,6.213232520967722,3.6732959151268005,11.513658057898283,4
1,29,4,833,5,4,1.6869703233242035,Virgil van Dijk,D,0,23,Liverpool,2610,0.9899155646562576,1.6869703233242035,10.321272304281592,10.918562334030867,1
3,29,4,843,45,3,3.2704065572470427,James Ward-Prowse,D M,0,37,Southampton,2610,4.443940782919526,4.792744291946292,6.897218104451895,9.54349669534713,7
7,28,4,900,39,4,2.1406859438866377,Adama Traoré,F M S,0,34,Wolverhampton Wanderers,2067,6.0250411462038755,2.1406859438866377,5.125929797999561,11.745804212987423,0
2,26,4,1389,22,1,0.8134975954890251,Jorginho,M S,0,12,Chelsea,2025,2.894575239159167,3.097004123032093,11.809574719518423,12.713215708732605,10
2,11,4,1621,15,4,1.6841020742431283,Marcos Alonso,D M S,0,18,Chelsea,861,2.0405871234834194,1.6841020742431283,4.079343169927597,6.376144573092461,3
2,28,4,1726,35,4,4.4061159156262875,Abdoulaye Doucouré,M,0,50,Watford,2461,3.6231367345899343,4.4061159156262875,6.0579039845615625,11.70123615115881,7
0,26,4,1736,7,4,6.696384555660188,Oliver McBurnie,F S,0,38,Sheffield United,1429,0.6664657136425376,6.696384555660188,1.960717935115099,6.439008988440037,3
2,27,4,3293,27,4,5.0968344528228045,Lucas Moura,F M S,0,45,Tottenham,1681,2.0705962888896465,5.0968344528228045,2.300167016685009,8.489890404045582,2
4,25,4,5612,27,3,5.109478333964944,Anwar El Ghazi,F M S,0,46,Aston Villa,1697,2.4271194245666265,5.870647171512246,1.7420414797961712,6.964994192123413,3
5,24,4,5656,33,3,4.0497387163341045,Nicolas Pepe,F M S,0,44,Arsenal,1592,3.915545217692852,4.810907524079084,4.580382399260998,10.02383591234684,3
1,27,4,6852,13,4,6.1909246211871505,Matt Doherty,D M S,0,29,Wolverhampton Wanderers,2146,1.104155894368887,6.1909246211871505,5.293611003085971,11.431757774204016,1
3,27,4,7708,20,4,4.921297140419483,John Lundstram,M S,0,39,Sheffield United,2068,3.437319077551365,4.921297140419483,4.221686035394669,9.84258128516376,4
1,22,3,484,6,3,1.9856647048145533,Divock Origi,F S,0,11,Liverpool,495,0.6980181485414505,1.9856647048145533,0.7974839545786381,3.261449361220002,0
3,29,3,522,29,3,3.8252923525869846,Wilfried Zaha,F M S,0,44,Crystal Palace,2542,3.065186453051865,3.8252923525869846,3.705605536699295,9.32500427402556,4
0,23,3,534,17,3,0.9252481739968061,Aaron Cresswell,D,0,15,West Ham,2032,1.6160227432847023,0.9252481739968061,3.3653216045349836,4.680803537368774,7
5,25,3,605,26,3,0.9230641964823008,Jordan Henderson,M S,0,15,Liverpool,1898,4.108062040060759,0.9230641964823008,9.181900028139353,12.693436160683632,1
3,12,3,620,11,3,3.502264838665724,Kelechi Iheanacho,F S,0,20,Leicester,586,2.406350340694189,3.502264838665724,0.8667257558554411,6.161839611828327,1
0,22,3,730,24,2,0.8428934067487717,Patrick van Aanholt,D,0,21,Crystal Palace,1893,2.1062198895961046,1.604062244296074,2.7672814475372434,3.6342392405495048,0
0,18,3,751,24,3,1.511374894529581,N&#039;Golo Kanté,M S,0,16,Chelsea,1382,1.4574336782097816,1.511374894529581,3.590671792626381,5.923327541910112,3
0,28,3,771,11,3,1.5211793798953295,Georginio Wijnaldum,M,0,27,Liverpool,2360,0.5759065933525562,1.5211793798953295,7.254311840981245,8.94975596293807,0
1,23,3,790,28,3,4.01945848017931,Nathan Redmond,F M,0,42,Southampton,1971,2.405768529511988,4.01945848017931,3.4892853247001767,9.013938189484179,2
0,21,3,966,14,3,2.0050846356898546,Alex Oxlade-Chamberlain,F M S,0,31,Liverpool,1128,0.7188819013535976,2.0050846356898546,2.0513947624713182,4.453725595027208,1
0,23,3,1723,18,2,1.9136015120893717,Roberto Pereyra,F M S,0,18,Watford,1323,1.326257356442511,2.6747703794389963,1.1905550230294466,3.9421671787276864,3
1,26,3,2496,27,3,0.5449426202103496,Rodri,D M S,0,17,Manchester City,1953,1.7633885573595762,0.5449426202103496,16.29226137511432,17.554752994328737,7
0,23,3,3203,2,3,1.6137292366474867,Issa Diop,D S,0,11,West Ham,1957,1.1375059485435486,1.6137292366474867,2.0391492806375027,2.100247796624899,8
2,28,3,3303,27,3,1.2652331655845046,Ricardo Pereira,D M,0,18,Leicester,2520,4.018951584585011,1.2652331655845046,8.115902204066515,11.059817846864462,1
1,20,3,5560,15,3,1.9942155815660954,Scott McTominay,M S,0,28,Manchester United,1560,1.4195681866258383,1.9942155815660954,4.145450985059142,5.383144184947014,2
6,27,3,5595,25,3,3.3781475126743317,Daniel James,F M S,0,39,Manchester United,2188,4.18086258508265,3.3781475126743317,5.113733435049653,10.565442748367786,3
5,28,3,5956,36,3,2.1579146590083838,Youri Tielemans,M S,0,46,Leicester,2162,3.675837703049183,2.1579146590083838,8.761848260648549,12.926164902746677,1
2,26,3,6122,11,3,2.1365004554390907,Douglas Luiz,M S,0,33,Aston Villa,1703,1.2475686082616448,2.1365004554390907,1.9170461241155863,3.8364496529102325,4
1,15,3,6274,15,3,1.9291945435106754,Andriy Yarmolenko,M S,0,20,West Ham,835,3.331640252843499,1.9291945435106754,1.3797560781240463,5.664749391376972,2
0,21,3,6893,11,3,1.7507559154182673,Stuart Armstrong,M S,0,31,Southampton,1135,0.9719399586319923,1.7507559154182673,2.5756318159401417,4.484154054895043,3
2,19,3,7063,20,3,1.6171685941517353,Bernard,M S,0,11,Everton,1028,2.0241145230829716,1.6171685941517353,2.717535532079637,6.014771338552237,2
3,23,3,7698,35,3,2.8894381783902645,Leandro Trossard,F M S,0,25,Brighton,1447,3.849530450999737,2.8894381783902645,4.431322373449802,9.23636613227427,0
1,23,3,7699,10,3,1.539364131167531,Adam Webster,D,0,14,Brighton,2015,1.0943768145516515,1.539364131167531,5.2318215891718864,5.469980541616678,3
0,18,3,7712,11,3,2.8619896844029427,Billy Sharp,F S,1,10,Sheffield United,661,1.7068222369998693,2.8619896844029427,1.037148229777813,4.019582450389862,1
2,18,3,7721,19,3,1.1839286237955093,Conor Hourihane,M S,0,18,Aston Villa,945,3.2978873662650585,1.1839286237955093,2.8058882001787424,4.760432517156005,4
1,24,3,7722,18,3,3.517887808382511,Trézéguet,F M S,1,37,Aston Villa,1328,0.8779527973383665,3.517887808382511,2.1826229505240917,4.940201388671994,2
2,18,3,7723,27,3,2.846284771338105,John McGinn,M,0,38,Aston Villa,1537,2.073997773230076,2.846284771338105,4.373334985226393,7.687024682760239,2
0,14,3,7752,2,3,2.2424834556877613,Gabriel Martinelli,M S,0,12,Arsenal,643,0.11354188434779644,2.2424834556877613,0.639907656237483,2.9959330298006535,1
0,18,2,76,3,2,1.047803096473217,Fabian Schär,D S,0,19,Newcastle United,1401,0.08361350558698177,1.047803096473217,1.2377111725509167,1.9215159006416798,4
1,18,2,101,23,2,2.0453988816589117,Allan Saint-Maximin,M S,0,31,Newcastle United,1281,2.8703107573091984,2.0453988816589117,1.3858335800468922,4.937795836478472,0
4,23,2,239,52,2,1.4200760470703244,Pascal Groß,F M S,0,27,Brighton,1492,5.626854496076703,1.4200760470703244,5.717444892972708,7.849930267781019,2
1,25,2,314,32,1,2.6995722018182278,Ilkay Gündogan,M S,0,29,Manchester City,1583,2.8013524524867535,4.221873054280877,11.860086798667908,15.846934076398611,7
0,19,2,371,2,2,1.450504781678319,Sokratis,D,0,7,Arsenal,1698,0.7529756426811218,1.450504781678319,4.342151601798832,4.342151601798832,6
1,16,2,462,4,2,2.33323372900486,Dan Gosling,M S,0,9,Bournemouth,881,0.6176679655909538,2.33323372900486,1.4419021494686604,2.987005278468132,1
2,18,2,489,9,0,0.6423958018422127,James Milner,D M S,0,12,Liverpool,736,0.9003418125212193,2.1647335067391396,5.3854106813669205,6.272835060954094,3
0,9,2,502,6,2,2.219284649938345,Olivier Giroud,F S,0,12,Chelsea,440,0.9858815521001816,2.219284649938345,1.6769273951649666,4.212496750056744,0
0,24,2,528,1,2,1.2218804629519582,Angelo Ogbonna,D,0,10,West Ham,2160,0.051137376576662064,1.2218804629519582,2.3779125213623047,2.4903987236320972,4
2,15,2,531,14,2,5.48243610933423,Michail Antonio,F M S,0,35,West Ham,1017,2.063320506364107,5.48243610933423,1.0679445080459118,5.785585444420576,1
1,23,2,579,6,2,2.9290802031755447,Nathan Aké,D,0,22,Bournemouth,2014,1.4713891446590424,2.9290802031755447,2.790194073691964,3.3671365845948458,1
0,19,2,611,4,2,2.027624573558569,Nicolás Otamendi,D S,0,14,Manchester City,1413,0.17758418899029493,2.027624573558569,8.939843405038118,8.977320183068514,3
7,19,2,617,34,2,4.271635785698891,David Silva,M S,0,31,Manchester City,1273,4.705335449427366,4.271635785698891,8.281471148133278,15.769243285059929,0
1,17,2,644,17,2,1.7444611601531506,Erik Lamela,F M S,0,24,Tottenham,930,0.9973586406558752,1.7444611601531506,2.7807406336069107,4.7917074374854565,3
2,20,2,646,23,2,1.7644307054579258,Christian Eriksen,F M S,0,26,Tottenham,1075,2.2595173344016075,1.7644307054579258,1.7793743619695306,4.081463946029544,5
5,26,2,669,38,2,1.1425455203279853,Ashley Westwood,M,0,12,Burnley,2340,6.0932194124907255,1.1425455203279853,4.225176449865103,7.204858381301165,9
3,27,2,681,31,2,2.2205097433179617,César Azpilicueta,D M,0,21,Chelsea,2424,4.337571118026972,2.2205097433179617,10.764778684824705,12.829600300639868,0
